Region,.model,Period,Sealevel,trend,season_12,remainder,season_adjust,Date
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 Jan,-94.68460168150915,-85.32561722031639,35.739894095803415,-45.0988785569962,-130.4244957773126,1993-01-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 Feb,-88.7292741189098,-79.49396520183821,-0.5365372591816908,-8.698771657889921,-88.19273685972813,1993-02-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 Mar,-59.02817254460007,-73.66231318336004,4.286197648781554,10.34794298997842,-63.31437019338162,1993-03-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 Apr,-100.38714947633818,-67.83066116488186,-23.439088939599614,-9.117399371856706,-76.94806053673857,1993-04-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 May,-33.94246325371096,-62.56679814145075,10.825508179675788,17.798826708064,-44.76797143338675,1993-05-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 Jun,-22.553328888308915,-57.302935118019626,2.634892478097646,32.11471375161307,-25.188221366406562,1993-06-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 Jul,-67.3216968626919,-52.03907209458851,-8.833378042446919,-6.449246725656465,-58.48831882024498,1993-07-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 Aug,-34.59050523171069,-47.11882956736991,1.1049086051181805,11.423415730541038,-35.69541383682887,1993-08-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 Sep,-22.735495539431078,-42.198587040151295,0.6017066927424752,18.861384807977743,-23.337202232173553,1993-09-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 Oct,-33.92632452249598,-37.27834451293269,-11.961050175869506,15.313070166306215,-21.965274346626476,1993-10-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 Nov,15.81828149048838,-34.054202588698466,-1.7545236668895439,51.62700774607639,17.572805157377925,1993-11-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1993 Dec,-38.09865508980633,-30.830060664464245,-9.625672265511335,2.35707784016925,-28.472982824294995,1993-12-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1994 Jan,-11.102428571463392,-27.60591874023002,36.01156965900524,-19.50807949023861,-47.11399823046863,1994-01-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1994 Feb,-110.1417264304258,-26.030564942536376,0.22528335042304148,-84.33644483831247,-110.36700978084885,1994-02-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1994 Mar,2.5637921941171626,-24.455211144842732,3.7416655960868823,23.277337742873012,-1.1778734019697197,1994-03-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1994 Apr,-70.9672094077975,-22.879857347149088,-22.19971092941108,-25.887641131237327,-48.767498478386415,1994-04-01
Adriatic Sea,STL(Sealevel ~ trend() + season(period = 12)),1994 May,1.7037006447859397,-22.637400997056197,11.053781584858761,13.287320056983376,-9.350080940072822,1994-05-01
