.model,Date,Anomaly,trend,season_12,remainder,season_adjust
STL(Anomaly ~ trend() + season(period = 12)),1951-01-01,2.5,0.47997590451006356,0.11113467975413366,1.9088894157358027,2.3888653202458663
STL(Anomaly ~ trend() + season(period = 12)),1951-02-01,1.5,0.318359480674966,0.17734441142704907,1.0042961078979848,1.322655588572951
STL(Anomaly ~ trend() + season(period = 12)),1951-03-01,-0.2,0.1567430568398685,0.27709596323370345,-0.633839020073572,-0.47709596323370346
STL(Anomaly ~ trend() + season(period = 12)),1951-04-01,-0.5,-0.0048733669952289995,-0.03312092305288022,-0.4620057099518908,-0.4668790769471198
STL(Anomaly ~ trend() + season(period = 12)),1951-05-01,-1.1,-0.13855994161236054,-0.24496414213485,-0.7164759162527896,-0.8550358578651501
STL(Anomaly ~ trend() + season(period = 12)),1951-06-01,0.3,-0.2722465162294921,0.5126054881478606,0.05964102808163152,-0.21260548814786057
STL(Anomaly ~ trend() + season(period = 12)),1951-07-01,-1.7,-0.40593309084662366,0.2399444929926407,-1.534011402146017,-1.9399444929926406
STL(Anomaly ~ trend() + season(period = 12)),1951-08-01,-0.4,-0.5140241346271226,0.13683860485293453,-0.022814470225811956,-0.5368386048529346
STL(Anomaly ~ trend() + season(period = 12)),1951-09-01,-1.8,-0.6221151784076214,-0.764044316179916,-0.41384050541246264,-1.035955683820084
STL(Anomaly ~ trend() + season(period = 12)),1951-10-01,-1.6,-0.7302062221881204,0.28779318506758933,-1.1575869628794693,-1.8877931850675895
STL(Anomaly ~ trend() + season(period = 12)),1951-11-01,-1.3,-0.6705183383539921,-0.3970881449050756,-0.23239351674093234,-0.9029118550949244
STL(Anomaly ~ trend() + season(period = 12)),1951-12-01,-1.2,-0.6108304545198638,-0.2575720124249014,-0.33159753305523465,-0.9424279875750985
STL(Anomaly ~ trend() + season(period = 12)),1952-01-01,-1.5,-0.5511425706857356,0.05555689381158615,-1.0044143231258507,-1.5555568938115862
STL(Anomaly ~ trend() + season(period = 12)),1952-02-01,-1,-0.4286149220475563,0.16018034428797492,-0.7315654222404187,-1.160180344287975
STL(Anomaly ~ trend() + season(period = 12)),1952-03-01,0.9,-0.306087273409377,0.2833380217156772,0.9227492516937,0.616661978284323
STL(Anomaly ~ trend() + season(period = 12)),1952-04-01,-0.4,-0.18355962477119775,-0.02944107808125062,-0.18699929714755165,-0.3705589219187494
STL(Anomaly ~ trend() + season(period = 12)),1952-05-01,1.2,-0.10791648622742757,-0.24040980166920625,1.5483262878966337,1.4404098016692062
STL(Anomaly ~ trend() + season(period = 12)),1952-06-01,1.2,-0.03227334768365739,0.4970762674904229,0.7351970801932345,0.7029237325095771
STL(Anomaly ~ trend() + season(period = 12)),1952-07-01,0.8,0.04336979086011278,0.25581714487855567,0.5008130642613315,0.5441828551214444
STL(Anomaly ~ trend() + season(period = 12)),1952-08-01,0.1,0.023945667958597507,0.15191612607061325,-0.07586179402921076,-0.051916126070613244
STL(Anomaly ~ trend() + season(period = 12)),1952-09-01,-0.4,0.004521545057082237,-0.7568192141560809,0.3522976690989986,0.35681921415608087
STL(Anomaly ~ trend() + season(period = 12)),1952-10-01,0.6,-0.014902577844433041,0.30950649214012427,0.30539608570430876,0.2904935078598757
STL(Anomaly ~ trend() + season(period = 12)),1952-11-01,0,-0.12932517895245,-0.4045044601029316,0.5338296390553816,0.4045044601029316
STL(Anomaly ~ trend() + season(period = 12)),1952-12-01,-2,-0.24374778006046693,-0.2327734449883354,-1.5234787749511978,-1.7672265550116646
STL(Anomaly ~ trend() + season(period = 12)),1953-01-01,0.5,-0.3581703811684839,1.1833943745003135e-4,0.8580520417310338,0.49988166056254996
STL(Anomaly ~ trend() + season(period = 12)),1953-02-01,-0.8,-0.45826130192621894,0.1436591851712313,-0.48539788324501243,-0.9436591851712314
STL(Anomaly ~ trend() + season(period = 12)),1953-03-01,-0.3,-0.558352222683954,0.2907266646739004,-0.032374441989946434,-0.5907266646739004
STL(Anomaly ~ trend() + season(period = 12)),1953-04-01,0.3,-0.6584431434416891,-0.024003976827790156,0.9824471202694793,0.3240039768277902
STL(Anomaly ~ trend() + season(period = 12)),1953-05-01,-2.8,-0.663787305224518,-0.23348753311615036,-1.9027251616593313,-2.5665124668838493
STL(Anomaly ~ trend() + season(period = 12)),1953-06-01,0.2,-0.669131467007347,0.48446921325816095,0.3846622537491861,-0.28446921325816094
STL(Anomaly ~ trend() + season(period = 12)),1953-07-01,-0,-0.674475628790176,0.27516620152741006,0.3993094272627659,-0.27516620152741006
STL(Anomaly ~ trend() + season(period = 12)),1953-08-01,-2,-0.5989854164837347,0.1707837871525237,-1.571798370668789,-2.1707837871525237
STL(Anomaly ~ trend() + season(period = 12)),1953-09-01,-2.1,-0.5234952041772934,-0.7454902371667218,-0.8310145586559848,-1.3545097628332783
STL(Anomaly ~ trend() + season(period = 12)),1953-10-01,0.1,-0.44800499187085224,0.33522005287153733,0.21278493899931492,-0.23522005287153733
STL(Anomaly ~ trend() + season(period = 12)),1953-11-01,-0.5,-0.32184635335390543,-0.4080241429485555,0.22987049630246092,-0.09197585705144451
STL(Anomaly ~ trend() + season(period = 12)),1953-12-01,-0.8,-0.19568771483695863,-0.20476379210195472,-0.3995484930610867,-0.5952362078980453
STL(Anomaly ~ trend() + season(period = 12)),1954-01-01,1.1,-0.06952907632001183,-0.13648224532030515,1.306011321640317,1.2364822453203053
STL(Anomaly ~ trend() + season(period = 12)),1954-02-01,-0.5,0.06914749472629485,0.07987566373682742,-0.6490231584631223,-0.5798756637368274
STL(Anomaly ~ trend() + season(period = 12)),1954-03-01,0.4,0.20782406577260154,0.32036132753694024,-0.12818539330954176,0.07963867246305978
STL(Anomaly ~ trend() + season(period = 12)),1954-04-01,1.1,0.34650063681890825,0.012340376981448986,0.7411589861996428,1.0876596230185511
STL(Anomaly ~ trend() + season(period = 12)),1954-05-01,0.8,0.45064222647341867,-0.22493706170391817,0.5742948352304995,1.0249370617039182
STL(Anomaly ~ trend() + season(period = 12)),1954-06-01,0.2,0.554783816127929,0.4445270493016738,-0.7993108654296028,-0.2445270493016738
STL(Anomaly ~ trend() + season(period = 12)),1954-07-01,0.7,0.6589254057824395,0.33345985728161354,-0.2923852630640531,0.3665401427183864
STL(Anomaly ~ trend() + season(period = 12)),1954-08-01,1.8,0.7293570490910619,0.1968373516382717,0.8738055992706664,1.6031626483617283
STL(Anomaly ~ trend() + season(period = 12)),1954-09-01,0.3,0.7997886923996843,-0.7261595050562699,0.22637081265658565,1.02615950505627
